Fri Feb 20 09:26:45 2015    ugzone_profile.txt

         138680 function calls (138637 primitive calls) in 20.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       19    0.000    0.000    0.000    0.000 {max}
       41    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       14    0.000    0.000    0.000    0.000 six.py:175(find_module)
       18    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
       18    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        5    0.000    0.000    0.000    0.000 argparse.py:1244(set_defaults)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       21    0.000    0.000    0.000    0.000 pickle.py:1250(load_mark)
       27    0.000    0.000    0.000    0.000 sre_parse.py:204(match)
       30    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
       16    0.000    0.000    0.000    0.000 {thread.get_ident}
        1    0.000    0.000    0.000    0.000 forking.py:60(ForkingPickler)
       51    0.000    0.000    0.000    0.000 {posix.WIFEXITED}
       35    0.000    0.000    0.000    0.000 {method 'rstrip' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        8    0.000    0.000    0.000    0.000 __init__.py:605(filter)
       15    0.000    0.000    0.000    0.000 argparse.py:199(__init__)
        8    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        8    0.000    0.000    0.000    0.000 threading.py:967(name)
        8    0.000    0.000    0.000    0.000 {any}
        1    0.000    0.000    0.000    0.000 argparse.py:250(add_usage)
       11    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:836(__call__)
        1    0.000    0.000    0.000    0.000 pickle.py:1254(load_stop)
        1    0.000    0.000    0.000    0.000 queues.py:56(Queue)
        2    0.000    0.000    0.000    0.000 argparse.py:2156(_get_nargs_pattern)
       16    0.000    0.000    0.000    0.000 {cmp}
        1    0.000    0.000    0.000    0.000 connection.py:117(Listener)
        1    0.000    0.000    0.000    0.000 pickle.py:1022(load_list)
        2    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
       31    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        8    0.000    0.000    0.000    0.000 {time.time}
        3    0.000    0.000    0.000    0.000 {zip}
        8    0.000    0.000    0.000    0.000 util.py:72(debug)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:2277(_check_value)
        2    0.000    0.000    0.000    0.000 argparse.py:287(_join_parts)
        2    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        4    0.000    0.000    0.000    0.000 forking.py:63(register)
        1    0.000    0.000    0.000    0.000 argparse.py:2112(_get_option_tuples)
        2    0.000    0.000    0.000    0.000 argparse.py:292(_format_usage)
        4    0.000    0.000    0.000    0.000 sre_parse.py:137(__delitem__)
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 forking.py:114(Popen)
        8    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1692(_get_positional_actions)
        2    0.000    0.000    0.000    0.000 threading.py:59(__init__)
       40    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:829(__init__)
        8    0.000    0.000    0.000    0.000 process.py:59(current_process)
        8    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 string_escape.py:26(StreamReader)
        7    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 connection.py:247(SocketListener)
        2    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 {vars}
        1    0.000    0.000    0.000    0.000 Queue.py:231(LifoQueue)
        8    0.000    0.000    0.000    0.000 process.py:161(name)
        1    0.000    0.000    0.000    0.000 argparse.py:230(_add_item)
        1    0.000    0.000    0.000    0.000 synchronize.py:108(Semaphore)
        1    0.000    0.000    0.000    0.000 Queue.py:212(PriorityQueue)
       16    0.000    0.000    0.000    0.000 urlparse.py:206(<genexpr>)
        6    0.000    0.000    0.000    0.000 synchronize.py:84(_make_methods)
        1    0.000    0.000    0.000    0.000 synchronize.py:195(Condition)
        1    0.000    0.000    0.000    0.000 queues.py:295(JoinableQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 connection.py:463(XmlListener)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 string_escape.py:15(IncrementalEncoder)
        8    0.000    0.000    0.000    0.000 mexecutor.py:226(__init__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:143(__setitem__)
        1    0.000    0.000    0.000    0.000 cmd_listzone.py:21(__new__)
        1    0.000    0.000    0.000    0.000 pickle.py:83(__init__)
       36    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 connection.py:441(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 {method 'groups' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 string_escape.py:19(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 string_escape.py:10(Codec)
        2    0.000    0.000    0.000    0.000 argparse.py:1602(identity)
        3    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        8    0.000    0.000    0.000    0.000 posixpath.py:51(normcase)
       17    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 synchronize.py:299(Event)
        1    0.000    0.000    0.000    0.000 queues.py:348(SimpleQueue)
        2    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 string_escape.py:23(StreamWriter)
        1    0.000    0.000    0.000    0.000 synchronize.py:144(Lock)
        1    0.000    0.000    0.000    0.000 Queue.py:17(Full)
        1    0.000    0.000    0.000    0.000 synchronize.py:127(BoundedSemaphore)
        2    0.000    0.000    0.000    0.000 argparse.py:1160(__init__)
        2    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 Queue.py:13(Empty)
        1    0.000    0.000    0.000    0.000 synchronize.py:169(RLock)


